ano,geocod,regiao,nivel,quartil,renda_m2
2022,1D21411,Ferreira do Zêzere,Concelho,3.º quartil,4.46
2022,1910103,Anadia,Concelho,2.º quartil,4.47
2022,1910118,Vagos,Concelho,2.º quartil,4.47
2022,1D11113,Torres Vedras,Concelho,1.º quartil,4.48
2022,1960907,Guarda,Concelho,3.º quartil,4.49
2022,1D21410,Entroncamento,Concelho,2.º quartil,4.49
2022,1910114,Oliveira do Bairro,Concelho,2.º quartil,4.5
2022,1D31415,Salvaterra de Magos,Concelho,2.º quartil,4.5
2022,1500804,Castro Marim,Concelho,1.º quartil,4.51
2022,1931003,Ansião,Concelho,3.º quartil,4.52
2022,1190312,Vila Nova de Famalicão,Concelho,2.º quartil,4.54
